"region_id","avg_observed","avg_relative_anomaly_no2","avg_relative_anomaly_pm25","avg_relative_anomaly_traffic_mapbox","avg_relative_anomaly_traffic_apple","avg_relative_anomaly_traffic_tomtom","avg_absolute_anomaly_no2","avg_absolute_anomaly_pm25","avg_absolute_anomaly_traffic_mapbox","avg_absolute_anomaly_traffic_apple","avg_absolute_anomaly_traffic_tomtom","avg_predicted_no2","avg_predicted_pm25","avg_predicted_traffic_mapbox","avg_predicted_traffic_apple","avg_predicted_traffic_tomtom"
"blackpool",,,,-0.563929203427915,,,,,,,,,,,,
"bournemouth",17.3297217834172,,0.0835410121434076,,,,,1.33612155121519,,,,,15.993600232202,,,
"bournemouth",,,,-0.508132692435822,,-0.641775236825452,,,,,,,,,,
"bradford",,,,,-0.507428571428571,,,,,,,,,,,
"brighton",15.9942536183496,,,,,,,,,,,,,,,
"brighton",,,,-0.557316650262309,,,,,,,,,,,,
"bristol",13.7426517685213,,0.0364919800585625,,,,,0.487983238921874,,,,,13.3723420362161,,,
"bristol",,,,-0.548263799101445,-0.680804081632653,-0.685892124188618,,,,,,,,,,
"cardiff",12.060422548466,,-0.0158279334717702,,,,,-0.193387692741289,,,,,12.2181264589091,,,
"cardiff",,,,-0.584653485735818,-0.708740816326531,-0.693775552875523,,,,,,,,,,
"chatham",19.417747711226,,-0.00837902617831689,,,,,-0.16407661867948,,,,,19.5818243299054,,,
"chatham",,,,-0.554974136680378,,,,,,,,,,,,
"coventry",11.0844615657857,,-0.268467299099397,,,,,-4.06791856997506,,,,,15.1523801357608,,,
"coventry",,,,,,-0.761683189956435,,,,,,,,,,
"derby",,,,-0.558466494715461,,,,,,,,,,,,
"dundee",,,,-0.657363415248478,,,,,,,,,,,,
"edinburgh",5.96677546888321,,-0.211682473017924,,,,,-1.60222466704663,,,,,7.56900013592984,,,
"edinburgh",,,,-0.624918454425515,-0.733761224489796,-0.671355893761466,,,,,,,,,,
"glasgow",6.09068075092356,,-0.160455018219678,,,,,-1.16405947515436,,,,,7.25474022607792,,,
"glasgow",,,,-0.505778175905878,-0.591422448979592,-0.684027777777778,,,,,,,,,,
"hull",12.628362745098,,0.11896625173955,,,,,1.34262224535917,,,,,11.2857404997389,,,
"hull",,,,-0.555511672698386,,-0.63128480444963,,,,,,,,,,
"leeds",11.3768907230877,,-0.104286843237399,,,,,-1.32459818236444,,,,,12.7014889054521,,,
"leeds",,,,,-0.58974693877551,,,,,,,,,,,
"leicester",10.215149048025,,-0.10776085280255,,,,,-1.23374229474009,,,,,11.4488913427651,,,
"leicester",,,,-0.651302872972249,,-0.682030144153033,,,,,,,,,,
"liverpool",11.1862595287484,,-0.169264715032578,,,,,-2.27923270586527,,,,,13.4654922346137,,,
"liverpool",,,,,-0.565226530612245,-0.592549912121711,,,,,,,,,,
"london",13.6379772894308,,-0.0863302517877759,,,,,-1.28861660964072,,,,,14.9265938990715,,,
"london",,,,-0.745567749750151,-0.658020408163265,-0.710607319908706,,,,,,,,,,
"luton",,,,-0.710024031542769,,,,,,,,,,,,
"manchester",11.5550970300834,,-0.167363123271604,,,,,-2.32261767729996,,,,,13.8777147073834,,,
"manchester",,,,-0.554041836482125,-0.632177551020408,-0.721396272866861,,,,,,,,,,
"middlesbrough",8.39848235230694,,-0.155318703985895,,,,,-1.54430008165701,,,,,9.94278243396395,,,
"middlesbrough",,,,-0.489367297466802,,-0.577610835061815,,,,,,,,,,
"milton keynes",,,,-0.613977785162204,,,,,,,,,,,,
"newport",13.2175067490764,,0.0974776674764918,,,,,1.17397534905407,,,,,12.0435314000224,,,
"newport",,,,-0.554805511022147,,,,,,,,,,,,
"northampton",13.970152173913,,0.132950634093484,,,,,1.63938351240725,,,,,12.3307686615058,,,
"norwich",11.5759870701904,,0.147634711256498,,,,,1.4891650556172,,,,,10.0868220145732,,,
"nottingham",11.6535905538764,,-0.102271211822942,,,,,-1.32760232681573,,,,,12.9811928806921,,,
"nottingham",,,,-0.66988911822341,-0.650687755102041,-0.619584463055598,,,,,,,,,,
"others",11.4947371830935,,-9.09737840218738e-05,,,,,-0.00104344989257784,,,,,11.4697866401485,,,
"oxford",10.4266751562944,,-0.180337857310035,,,,,-2.29402354777917,,,,,12.7206987040736,,,
"peterborough",,,,-0.642963590160866,,,,,,,,,,,,
"plymouth",18.2542732310315,,0.0781900237251117,,,,,1.32379453121607,,,,,16.9304786998155,,,
"plymouth",,,,-0.533580431957984,,,,,,,,,,,,
"portsmouth",,,,-0.56596778945301,-0.594581632653061,-0.622333807508298,,,,,,,,,,
"preston",10.0850123614663,,-0.306130546055894,,,,,-4.449439766583,,,,,14.5344521280493,,,
"preston",,,,,,-0.681222822124117,,,,,,,,,,
"reading",11.0191871370781,,-0.0422102099066711,,,,,-0.485620338479109,,,,,11.5048074755572,,,
"reading",,,,-0.608779996652765,-0.683877551020408,-0.719810452163393,,,,,,,,,,
"sheffield",13.51092016553,,-0.224250476003151,,,,,-3.905681131134,,,,,17.416601296664,,,
"sheffield",,,,,-0.583622448979592,-0.666330097205621,,,,,,,,,,
"slough",,,,-0.75302197465107,,,,,,,,,,,,
"southampton",15.9997466609832,,-0.00823141069941746,,,,,-0.126655720276044,,,,,15.3868789811456,,,
"southampton",,,,-0.616627239850663,,-0.728412424193214,,,,,,,,,,
"southend",13.3763085038363,,-0.051147594987019,,,,,-0.721045766613489,,,,,14.0973542704498,,,
"southend",,,,-0.554484204082693,,,,,,,,,,,,
"stoke",,,,-0.6644370096281,,,,,,,,,,,,
