"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_relative_traffic_mapbox","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_relative_traffic_mapbox","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"glasgow",-16.4959877795795,-0.4471223042717,-24.144111231434,-0.326542257719951,-13.9716743341053,-0.631523394592072,-6.4792416471809,-0.584912487403142,-0.777722598615541,-0.8699,-0.785714285714286,-5.67934367887665,-0.157778208675574,-0.698976454002736,0.0350866201118828,-3.20735190027881,-0.238272027886968,-0.920992872370497,-0.12103133848364,-0.48895684062783,-0.638161904761905,-0.653343428014481
"portsmouth",-15.1990874904371,-0.563734392780674,,,-13.2049080117635,-0.471434120690594,,,-0.720725942687104,-0.801,-0.806451612903226,-3.40972521416481,-0.156715761479081,,,3.80994843581768,0.183620678851414,,,-0.540399440563028,-0.543160119047619,-0.593677738867009
"hull",-17.2872380660334,-0.723237012362655,-40.3858514558592,-0.38633894699233,-12.9041892214075,-0.413149061820403,-15.366971388009,-0.60299888938588,-0.74761588643066,,-0.833333333333333,-2.97239915602369,-0.156070346983079,1.36672026376058,0.0629037444324548,0.727329946063656,0.0320749302778446,1.12578631474543,0.0977994807007815,-0.521831868212655,,-0.59857475718764
"wigan",-16.1096346361891,-0.582298915297625,-23.2387161084978,-0.370404932139559,-6.96555691632401,-0.526167240648611,-8.19290844394768,-0.435737597865871,,,,-2.84371728226679,-0.155628594269698,1.98208938273008,0.0832218217229434,3.15343501534067,0.189028138304305,0.680684716266008,0.0869080585913127,,,
"coventry",-17.0107421149696,-0.502925469559576,-23.2661597181941,-0.277281678145121,-11.6368592922298,-0.428264802622615,-7.20440320627806,-0.29385845938886,,,-0.870967741935484,-4.30529851725252,-0.153310183230784,5.07713554553449,0.11616676530892,0.832784689426961,0.038384488255115,1.27265615459065,0.124776159584114,,,-0.735929671158873
"belfast",-20.1457213284013,-0.443314704183106,-27.9290519232641,-0.862744503658465,-15.0218778438679,-0.701227677609396,-9.93944228816905,-0.512113705825177,-0.727789934354486,-0.877,-0.85,-5.64926747541584,-0.152657115473647,-2.34059623125168,-0.0328619387432994,-4.94393820661099,-0.264627417064199,-1.60593132180342,-0.10626705471098,-0.502228519226085,-0.640916071428571,-0.640913450705827
"exeter",-19.173499074328,-0.449164971092742,-19.4466367857558,-0.349432163896098,,,,,,,,-5.22339454366376,-0.136345924776901,2.95576702827776,0.0981584377316704,,,,,,,
"others",-6.96689063258666,-0.370648299795658,-16.0871809449834,-0.198371923586734,-5.39644308378541,-0.299285838028455,-4.47517758189481,-0.388925683262111,,,,-2.31211544854093,-0.136285361031764,2.34665137092186,0.0417718556902073,1.53743750907725,0.0806630858515618,1.73826139941883,0.156876813511553,,,
"leeds",-14.7153122047795,-0.416698825185155,-48.5035448870679,-0.461664459280769,-11.0236369228333,-0.653938703338345,-8.88283127784836,-0.541068342201637,,-0.8289,,-3.67777079885647,-0.127519156366581,0.834207840861027,0.073052101292828,-0.52708073244742,-0.0181025424744548,0.805616584242382,0.125436770802549,,-0.595431547619048,
"derby",-20.2996853796351,-0.475520973350547,,,,,,,-0.733263317046936,,,-4.30147719704839,-0.127297345502172,,,,,,,-0.524768392527887,,
"bristol",-17.5669698299802,-0.534155434634984,-30.8489350963653,-0.353423223382679,-12.1299761518805,-0.455709259498585,-6.09641611991408,-0.380843103056188,-0.737479082984385,-0.8842,-0.86046511627907,-3.46294245111237,-0.124093375105687,-1.96386550209533,0.0102164277736388,3.37567946203694,0.155885704373365,4.4552778003425,0.354948120818183,-0.527615840610172,-0.696097619047619,-0.661003020856142
"northampton",-8.69377002823165,-0.512935706207706,-19.7767202188556,-0.190343321639199,,,-2.51876782821755,-0.213182159908724,,,,-1.82844131104691,-0.121035936568104,9.39397144839835,0.168667060612359,,,3.12270672331077,0.255860178512556,,,
"brighton",-16.5324207546488,-0.67953791314536,-31.5426682655481,-0.435230556167378,,,Inf,Inf,-0.717082557209422,,,-2.10738387275935,-0.12043587477572,1.40843394938869,0.0433942346616854,,,,,-0.532264026344074,,
"liverpool",-15.4794802889298,-0.542986134876844,-19.4101930840685,-0.337927079533936,-13.3843124535132,-0.348692366490802,-10.217230855042,-0.485164055447865,,-0.8693,-0.78125,-3.07453418452222,-0.119336706458658,7.64918210454989,0.166476688305055,0.917691860239097,0.103065270291319,0.319394359788623,0.0620785716663634,,-0.628098214285714,-0.56140135878913
"newport",-13.4428102375753,-0.714588353656587,,,-7.85562199579349,-0.343146451517812,-6.93885103677002,-0.41684255106586,-0.772289329630265,,,-2.03513516879201,-0.112604101573892,,,7.23243326572466,0.390207845513198,5.44075592865163,0.495742298803221,-0.53177904912829,,
"bradford",-31.9152427644433,-0.550814699374779,,,,,,,,-0.812,,-8.23592926693675,-0.109083023550564,,,,,,,,-0.496688095238095,
