"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_relative_traffic_mapbox","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_relative_traffic_mapbox","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"chatham",-5.70431970219876,-0.203083535724239,,,-3.69609641051265,-0.128080535812268,-3.48460756257282,-0.196025754195507,-0.390413302596417,,,-9.58331002207731,-0.449689411413085,,,0.13922269765322,-0.0159651302384541,0.727224113629057,0.0178846438050564,-0.554974136680378,,
"plymouth",-10.4972716084924,-0.530784991690772,2.3228236792258,0.0380796546220379,-12.3956715055721,-0.378688374374662,-10.1045490533344,-0.428909163531175,-0.347370046181935,,,-8.41971617094939,-0.434969054945178,12.5794137348115,0.261002268470308,-0.713294675879715,0.00632502478363939,1.34607015214578,0.120847856487273,-0.533580431957984,,
"sunderland",-9.1476253631095,-0.464012285295665,-14.1998595643664,-0.206571422987276,11.9275958702292,1.09579245972471,-4.3600181330549,-0.246309901327806,,,,-6.6599748354581,-0.428264513562028,2.24255895427529,0.0571004928278838,5.90364554481363,0.566607596498798,-3.36268261126376,-0.26364964011239,,,
"luton",-24.4992899651841,-0.421938401233788,,,,,,,-0.484441244222421,,,-20.5976773797778,-0.422096282189588,,,,,,,-0.710024031542769,,
"manchester",-4.19698612567944,-0.122282506252826,2.69632330203088,0.0699846463485574,-7.00296421936332,-0.21269708705264,-8.05241037738787,-0.369601725909194,-0.421371621127435,-0.5027,-0.75,-10.3075915242101,-0.407169518235013,10.5719620699297,0.239848588248348,-2.9099233745695,-0.12485357684607,-2.19212626777707,-0.16309635049535,-0.554041836482125,-0.656066666666667,-0.723932306432306
"liverpool",-6.90784026440437,-0.280279250702152,-0.916291696153912,-0.0183647319449014,-6.60667490734754,-0.211722373572471,-4.69210131690548,-0.246622555708423,,-0.4635,-0.571428571428571,-9.01943007894091,-0.405290882699412,10.1817865799559,0.210959609135808,-2.84442206868034,-0.0865991951356418,-2.26925191100601,-0.169962149230078,,-0.66017074829932,-0.595650910364146
"coventry",-5.49295330711709,-0.157294099775503,-9.35143947302065,-0.184613622155486,-6.55146404696477,-0.225823120532997,-5.59393112089474,-0.303230155620447,,,-0.771428571428571,-9.83286763816427,-0.39842731806272,5.15138759761308,0.114599543409807,-5.35641344739568,-0.232728981681116,-3.71648257719968,-0.27190278620118,,,-0.763368466658789
"derby",-8.2192115814316,-0.222318338204349,,,,,,,-0.377592878200174,,,-11.4499263921719,-0.389403571968489,,,,,,,-0.558466494715461,,
"telford",2.4923165177967,0.103281583225553,,,,,,,-0.370381156018682,,,-5.71882571361936,-0.386250125754101,,,,,,,-0.539673498771455,,
"birmingham",0.0308512245138672,0.000877012667226894,-16.3672204182971,-0.307616384505571,-9.19049188434662,-0.296638204507737,-3.8361619663062,-0.220118964696183,-0.483837068213206,-0.4752,-0.717948717948718,-9.28058370009548,-0.385064492388557,1.38153629563413,0.042525860068437,-4.43191187657143,-0.208189167443082,-3.65877513548466,-0.244484107787211,-0.623080002444789,-0.646960544217687,-0.73189874502904
"blackpool",2.77536154220956,0.16453795182803,-10.1130197485388,-0.174033531845578,12.1110688227721,1.02841587918344,2.50675329726239,0.199455279672086,-0.382505196846766,,,-4.70639587766626,-0.384919588594059,3.91796814217337,0.0778447245433536,2.6633853179111,0.182033215800624,-6.5067471355867,-0.301602653276338,-0.563929203427915,,
"barnsley",-1.43087025560437,-0.0577817252189467,3.57923616604536,0.0847216143369287,,,,,,,,-6.79343844001953,-0.384048142173064,0.373906138094381,0.0511213510832182,,,,,,,
"swansea",-0.937178470268435,-0.0415629174114802,0.269144553024752,0.00421849122729603,-3.10752728400263,-0.114599101829577,-4.06406119099336,-0.300543012828249,-0.395835341752627,,-0.657142857142857,-6.99158551116069,-0.382631570746463,5.95938511090022,0.107510479742071,4.07184438607739,0.196676536341022,-0.633064210700509,-0.0895725402926207,-0.539980818279825,,-0.653602653882066
"bristol",-3.7111392122047,-0.114181053853137,0.0160583349279122,0.00032943184712444,4.04200522661796,0.157715792727662,6.42658497381583,0.665944022390944,-0.369804043219929,-0.5284,-0.69047619047619,-10.2234693254557,-0.381798094113942,7.02229260853396,0.165885143664019,1.86094093807951,0.082686745896188,0.406539394786339,0.00939945626677734,-0.548263799101445,-0.728044897959184,-0.688258615321039
"bradford",-19.591018661624,-0.277889752718396,,,,,,,,-0.3977,,-21.7815093881666,-0.380829937107519,,,,,,,,-0.521591156462585,
"wigan",0.260222339426051,0.0095334501365957,0.584136656325121,0.0133912970174533,7.09358220844727,0.40347043068708,-7.80619581078098,-0.348712267753852,,,,-6.09260267215217,-0.374898306967288,6.20182915856954,0.161769524741349,3.40984886602092,0.197235726324482,-3.14270484819106,-0.214066243440854,,,
"preston",-6.39280312647386,-0.215698741304203,5.18284668257889,0.107839451775175,5.55402947188596,0.369341898593861,-3.42010480018293,-0.224124334403361,,,-0.7,-8.17675125014246,-0.370188043588017,6.6045169500526,0.132907891088241,2.96047355519594,0.186239170396452,-4.34587231092562,-0.30025163224574,,,-0.683123140635565
"aberdeen",-4.07615688012164,-0.210283247121942,-1.29065284158368,-0.0260847914570605,12.401437829624,0.693034745267215,8.92004310802314,1.03441795135107,-0.3958822481662,,,-10.0452392011163,-0.368529533957208,-9.17352553135197,-0.188792728486213,-1.46312540947172,-0.0849233275059248,0.058575475615746,0.0458286504748615,-0.544753134506713,,
"doncaster",-1.19248733825876,-0.0301969684490332,,,,,,,,,,-10.9728515802065,-0.367314842628301,,,,,,,,,
"swindon",-9.3045305472344,-0.411770382142623,,,,,,,-0.468427301838592,,,-4.94278215280105,-0.363334627793881,,,,,,,-0.583804869049408,,
"london",-7.92321960341028,-0.164489317577069,-8.23249638715324,-0.180350297882866,-4.99365013334182,-0.179036252772022,-1.45734756626859,-0.106487033926897,-0.625824829895478,-0.5224,-0.702702702702703,-13.1965487678572,-0.363098146055734,14.2977984066334,0.344345458044695,-3.64242684120626,-0.133887134034862,-1.26590149162238,-0.064106675825952,-0.745567749750151,-0.749047619047619,-0.71451643600385
"portsmouth",-12.7120399021861,-0.582790873161946,,,-5.72588791859565,-0.227846798208081,,,-0.436658708570228,-0.4517,-0.666666666666667,-7.84408583645491,-0.361237390361761,,,3.83872337194653,0.181417001588095,,,-0.56596778945301,-0.573254421768707,-0.62381274172298
"birkenhead",-11.1900977556352,-0.378682258453824,2.01251018457025,0.0423931481657463,4.81808095861166,0.292399160337123,-7.43408742013011,-0.340624449306913,,,,-7.66751271381955,-0.35908922864996,5.06477456329701,0.09982981603936,3.29933876549285,0.213287099498136,-2.30598972812832,-0.147812764598756,,,
"worthing",-9.83096959207956,-0.29201910995459,,,,,-8.74119576866013,-0.460276218261365,,,,-11.0038378607737,-0.35625523451518,,,,,-1.84335677168504,-0.132180993011072,,,
"southend",-9.80777767878104,-0.388653447908277,6.11171246106451,0.109340100066743,5.25404451554339,0.434513420199121,-4.92585401195676,-0.320400288572123,-0.408139813101749,,,-6.81801242857667,-0.348383610556107,8.95366311995631,0.194438666860883,8.76727844250233,0.769575289918015,-0.683606296537784,-0.0792901552458151,-0.554484204082693,,
