"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25"
"preston",-18.3387815302415,-81.9560594646845,-36.2064693241258,-79.1506036845581,-7.19728458586757,-61.4257991361756,-17.2639133337395,-191.445033884813,-8.17675125014246,-36.5419213146482,6.6045169500526,14.4380690357242,2.96047355519594,25.2663975947958,-4.34587231092562,-48.1927623094717
"bristol",-23.2233087927149,-82.5154231328994,-20.1731484362876,-46.069204788646,-12.6523649540628,-71.3937623706379,-10.0756901310439,-91.4132260733954,-10.2234693254557,-36.32531026504,7.02229260853396,16.036735033705,1.86094093807951,10.5007700616775,0.406539394786339,3.68839028592618
"birmingham",-19.7452886353721,-76.453158442722,-25.0428488451628,-55.4562689835516,-16.9179581683891,-102.342312464637,-17.6650759202437,-162.353142863334,-9.28058370009548,-35.9341384756097,1.38153629563413,3.05935035166834,-4.43191187657143,-26.8100976236778,-3.65877513548466,-33.6264415142102
"swansea",-15.2015246630882,-77.7922360019278,-18.8691594058728,-36.2896965680316,-7.45811482445278,-36.1638449902596,-8.13654226636919,-68.383226665776,-6.99158551116069,-35.7787183960915,5.95938511090022,11.4612565803702,4.07184438607739,19.7440710780912,-0.633064210700509,-5.32056148632798
"blackpool",-12.8781102074522,-97.3045146144834,-30.0411722693403,-53.7647741051802,-8.70940707191129,-68.7176249645686,-24.2303205940612,-283.165841342214,-4.70639587766626,-35.5606186841698,3.91796814217337,7.01199907335939,2.6633853179111,21.0142334490962,-6.5067471355867,-76.0406169574596
"southend",-20.0302432560651,-104.21816787351,-20.0332712623395,-43.3717586607925,-3.78929601411263,-34.3779496119635,-11.3983672573541,-96.5832087331842,-6.81801242857667,-35.4743951314684,8.95366311995631,19.384558362109,8.76727844250233,79.5401191693336,-0.683606296537784,-5.79248660260788
"sheffield",-21.4507237364734,-74.6437773836447,-14.0664461012607,-31.0837138527316,-19.5694181913229,-119.537494779571,-17.4561456926563,-152.732162165166,-10.0750540649826,-35.0589612729956,7.47357924042359,16.5149460562197,-5.24153063317609,-32.0172748404991,-3.82885962261667,-33.5005229152712
"cardiff",-19.4356632191159,-92.0965032429933,-26.0897424100759,-62.6203333407819,-12.5863665680801,-67.3475898317327,-9.07740662742607,-90.1197307633425,-7.38311120616005,-34.985105343497,15.7976144426798,37.9172728822233,-1.32098752120911,-7.06838826519249,-0.174886330154171,-1.73625680049018
"norwich",-12.6083512943068,-90.2433848015758,-6.11373289466298,-12.8646635368599,-7.96534633131241,-50.2084258086488,-6.35564189376331,-54.5330517568303,-4.88498402463101,-34.9639284942342,13.4939679171623,28.3943312575885,2.03858890378582,12.8499547254715,1.60489842834181,13.770443728603
"london",-27.4512578301085,-71.2447614483555,-15.8734169370585,-46.508395891398,-26.8920183276471,-132.894077798881,-18.3337705829935,-153.034131767781,-13.1965487678572,-34.2492491501203,14.2977984066334,41.891904642072,-3.64242684120626,-18.0000232825346,-1.26590149162238,-10.5666281137864
"edinburgh",-34.0620170817684,-126.733363651412,-33.2723357442832,-70.2867464703328,-20.8714948285551,-191.652228780736,-11.4641339421515,-179.377671906161,-8.88858100873332,-33.0714345724341,7.08312142190235,14.9628677537426,-4.16314845112921,-38.2280563015724,-1.65661266291377,-25.9207825225364
"middlesbrough",-16.9699667798445,-110.062096180891,-16.8463438384418,-36.8801427559978,-11.1104320302137,-68.2946639096723,-8.78202069906132,-98.0412871142467,-5.05055352527768,-32.7563698313229,4.29907679324259,9.41157128064705,-0.440475694136734,-2.70755803281479,-1.59845959311683,-17.8449859411103
"worthing",-23.9946619407134,-71.0772372971053,,,,,-16.2932344135934,-164.651634416033,-11.0038378607737,-32.5956830207307,,,,,-1.84335677168504,-18.6280819121209
"derby",-30.0931255400242,-85.5561964167882,,,,,,,-11.4499263921719,-32.5526888213566,,,,,,
"aberdeen",-24.1373816422053,-76.6454478891618,-24.2523351401874,-51.0802527657975,-13.8753303795481,-103.755937413836,-8.18856871135515,-119.663009107385,-10.0452392011163,-31.8974886810872,-9.17352553135197,-19.3212736087621,-1.46312540947172,-10.9408528850241,0.058575475615746,0.855988136529474
"wigan",-19.2526666654286,-99.2799483437011,-18.3306041330727,-40.3757996897985,-7.18092023332493,-59.3170584237965,-14.02685538195,-135.602718968078,-6.09260267215217,-31.4176362724917,6.20182915856954,13.6604233007775,3.40984886602092,28.1666134464812,-3.14270484819106,-30.3816722083881
"northampton",-10.3991177605198,-75.5313696208897,-25.7139733446525,-49.1448954923089,,,-4.58135924290492,-42.5035209979266,-3.99147272466084,-28.9910556492234,3.70229791730265,7.07588212014189,,,1.65202584669372,15.3266555930552
"bournemouth",-17.6022631004579,-113.930574845033,-28.4735807401458,-49.1301034739495,,,-15.8260615803797,-132.475005261868,-4.03326511364241,-26.1052917046639,-2.19541815949455,-3.78811229711191,,,1.22010549718538,10.2131210180587
"brighton",-17.2234048059552,-110.134833993909,-22.7698383683482,-49.079385010195,,,,,-3.8705880017862,-24.7504237308611,9.78438830531589,21.089818599388,,,,
"leicester",-18.343376070829,-60.3763725130462,-35.295896849879,-89.3186364207575,-16.8426420093121,-74.6777777039281,-9.41414096641501,-86.6868205533714,-7.2896451532069,-23.9935293022671,1.05531770321917,2.6705522923281,-5.93665022601166,-26.3222269783422,-1.13878781483569,-10.4861288252645
"blackburn",-14.6873788812598,-74.3718239102465,,,,,,,-4.63070798024391,-23.4483090053529,,,,,,
"dundee",-6.51624847690437,-57.2521614772307,,,,,,,-2.52693920201169,-22.201843859927,,,,,,
"hull",-17.2800895818212,-70.0626603729641,-42.608054976427,-91.5890386695331,-19.268919994399,-93.8990296420521,-14.1756281241547,-136.413480813588,-3.81149337511118,-15.4538183722814,4.09509256568444,8.80269215671299,-0.370087581261724,-1.80346717787771,1.23112552602919,11.8472435121188
"southampton",-17.3018440994849,-52.7893272254194,-4.51609703733534,-11.6594763404718,-17.0210596309066,-91.4533943952535,-13.6865426736787,-111.380184698587,-3.45680166053249,-10.5469817530408,17.1732138242135,44.3371075993142,2.10388557892768,11.304083399296,-0.0830130919081353,-0.675555085720091
"newport",-11.5830326623958,-55.9357353699196,,,-10.9451960630459,-71.7632288327083,-8.18765259753553,-84.6334453882642,0.0302708787885275,0.146181394344755,,,0.878768050575837,5.76172709388609,1.21989689817566,12.6097286470287
