"region_id","min_absolute_no2","min_relative_no2","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_absolute_o3","min_relative_o3","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_absolute_o3","avg_relative_o3","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"southend",-5.23965569391527,-5.20436044223189,-4.21206897384269,-4.2013548995533,-5.7453031061416,-5.73761689308764,-6.31663981567376,-6.31744557536734,,,-3.47373233563897,-0.163433748738976,7.86911039134965,0.601203961006176,0.396237822648868,0.0174047363895496,0.771700288264916,0.0535774525455828,,
"swansea",-3.85621929428311,-3.84762936548686,-2.36083788211174,-2.34870741035489,-3.75403792729417,-3.81173831472395,-3.22828142035842,-3.19724345987935,,-0.822435411867878,-3.12212974316,-0.152267954187147,6.33212453606081,0.309603469584264,1.03983035908628,0.0362591003728978,3.85756437186985,0.0700917636111703,,-0.653602653882066
"bournemouth",-3.87123719341629,-3.9100126639467,,,-2.85523789168756,-2.81320118268477,-3.38521954010981,-3.37497419688165,,-0.755406595321055,-3.12430519141456,-0.142512049292783,,,4.8969115404973,0.32751716364938,-2.27804697721211,-0.015541328239714,,-0.644366839122937
"newport",-2.32665474234717,-2.34660748907561,-2.22112122990217,-2.17602525842276,-2.64692879588368,-2.63922179472342,,,,,-2.86724839124414,-0.141114756659128,5.05818983773819,0.276696054491815,3.91171554367454,0.337894006156421,,,,
"blackburn",-4.03923341526979,-4.02288809189869,,,,,,,,,-3.31258959207436,-0.133229783408629,,,,,,,,
"dundee",-4.65743088301093,-4.65483306219854,,,,,,,,,-1.08585896193155,-0.0985501888934099,,,,,,,,
"swindon",-3.30212552810456,-3.31085635592019,,,,,,,,,-1.42128235069904,-0.0588216528733584,,,,,,,,
"middlesbrough",-3.18245832664553,-3.18077864520397,-3.53486416809643,-3.53897735708006,-4.2789353008702,-4.26022920085971,-3.99055454452415,-3.98128883784665,,-0.823499726820445,-1.6724985030456,-0.0503237171367323,1.53394018915986,0.101189637605124,1.25092902906242,0.124316658281581,1.83163476434634,0.0623352639259514,,-0.578763051763052
"norwich",-2.61935218186086,-2.63127358494934,-2.83187238626355,-2.83345991913868,-2.63446756472954,-2.62331813855633,-3.36092303674191,-3.35485680997151,,,-0.61656045342937,-0.0256797347462674,3.61695848762188,0.272349581449642,2.9578389106922,0.383991674404116,1.0937536859699,0.0306595536118991,,
"southampton",-4.8863593293236,-4.86405350151971,-5.16758462400128,-5.16565106571025,-6.27288721381696,-6.30677557295911,-5.42477266283328,-5.41595729359929,,-0.81941715034891,2.49451175227004,0.0689412862165311,3.35106926441193,0.146521276810583,2.00630059843272,0.119625991077884,0.353886885972644,0.0325178349297503,,-0.729296462150762
"edinburgh",-4.73948753567667,-4.73603854390792,-4.71956676542881,-4.76158330608949,-4.71987023692316,-4.73199282280046,-4.46611287753608,-4.4904933492846,-0.773621428571429,-0.764590880919482,3.55676620291739,0.266353247508025,-2.84777052711979,-0.206153838773002,-1.03661210197638,-0.135199200219585,-1.33344464308777,0.00379693123502765,-0.800707482993197,-0.674550453497161
