"poll","unit","process_id","region_name","anomaly_lockdown","anomaly_last","delta_rebound"
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Newport",-1.22811825680638,-1.61094705361905,-0.382828796812669
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Northampton",-0.825738522976095,-1.15554493298729,-0.329806410011197
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Southend",-2.20056664038552,-2.49400469957803,-0.293438059192513
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Hull",-0.418173794386918,-0.700522380984091,-0.282348586597173
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Bournemouth",0.0738767555072063,-0.203941169615147,-0.277817925122353
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Others",-0.511040746404261,-0.779406387196111,-0.26836564079185
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Coventry",-3.02588888369408,-3.2679628692121,-0.242073985518016
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Sheffield",-1.51363268020468,-1.72443028015167,-0.210797599946986
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Middlesbrough",-1.97158225083403,-2.06244745360202,-0.0908652027679915
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Birmingham",-2.47759554450728,-2.56294708267878,-0.0853515381715031
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Reading",-1.9334861109248,-1.74169826759952,0.191787843325276
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","York",-1.78207753891824,-1.45430018376622,0.327777355152017
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Bristol",-1.526346236885,-1.18988569628977,0.336460540595223
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","London",-1.79575750504631,-1.40161951129938,0.394137993746936
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Cardiff",-2.19354848106314,-1.75866571449066,0.434882766572478
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Oxford",-2.7040296074429,-2.08962255584951,0.614407051593386
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Norwich",-1.80360725145484,-0.2828484009593,1.52075885049554
